idno,gincdif,nuts2,eisced,eiscedf,eiscedm,domicil,n2_unrao25_2022,wkhtot,ipeqopt,inprdsc,ppltrst,trstprl,gndr,agea,cntry,marsts,chldhhe,uemp3m,mbtru,hinctnta,c_gini_2022,c_effectiveness_2022,n2_unrao25_2020,n2_unrao25_2021,c_gini_2020,c_gini_2021,c_effectiveness_2020,c_effectiveness_2021,eqi21_n2,eqi21_n2_lowME,eqi21_n2_highME
10831,2,BE23,6,4,4.0,1,1.4,70,1,0,8,4,2,81,BE,5,1,2,3,2,24.9,1.2276587,2.2,2.1,25.4,24.1,1.078783,1.0870334,0.679,0.275555,1.082445
10838,3,BE33,4,88,6.0,4,7.5,9,2,1,6,5,1,22,BE,6,2,2,3,8,24.9,1.2276587,6.8,8.1,25.4,24.1,1.078783,1.0870334,0.154,-0.077615,0.385615
10853,4,BE33,2,3,7.0,4,7.5,666,2,5,7,8,1,17,BE,6,2,2,3,4,24.9,1.2276587,6.8,8.1,25.4,24.1,1.078783,1.0870334,0.154,-0.077615,0.385615
10858,2,BE23,6,7,7.0,4,1.4,41,1,4,8,5,1,31,BE,6,6,2,3,7,24.9,1.2276587,2.2,2.1,25.4,24.1,1.078783,1.0870334,0.679,0.275555,1.082445
10875,1,BE31,6,4,4.0,3,4.6,60,2,4,7,6,1,61,BE,4,1,2,3,7,24.9,1.2276587,5.2,5.7,25.4,24.1,1.078783,1.0870334,0.459,0.160079,0.7579210000000001
10892,5,BE21,3,88,88.0,2,3.2,33,1,1,5,2,2,33,BE,66,6,2,2,8,24.9,1.2276587,3.5,4.2,25.4,24.1,1.078783,1.0870334,0.478,0.153449,0.802551
10946,3,BE34,4,2,1.0,4,4.2,38,2,3,5,6,2,68,BE,4,2,2,1,6,24.9,1.2276587,3.7,4.7,25.4,24.1,1.078783,1.0870334,0.513,0.338499,0.687501
10958,2,BE21,7,7,7.0,2,3.2,32,1,6,8,6,2,32,BE,66,2,1,2,10,24.9,1.2276587,3.5,4.2,25.4,24.1,1.078783,1.0870334,0.478,0.153449,0.802551
10984,2,BE21,2,2,1.0,1,3.2,50,3,3,4,0,1,55,BE,66,6,1,3,5,24.9,1.2276587,3.5,4.2,25.4,24.1,1.078783,1.0870334,0.478,0.153449,0.802551
11026,2,BE21,3,1,1.0,5,3.2,60,2,3,6,7,1,53,BE,66,6,2,3,8,24.9,1.2276587,3.5,4.2,25.4,24.1,1.078783,1.0870334,0.478,0.153449,0.802551
11038,3,BE25,2,2,88.0,3,1.9,12,1,1,4,5,2,65,BE,66,1,1,2,4,24.9,1.2276587,2.7,2.8,25.4,24.1,1.078783,1.0870334,0.745,0.353999,1.136001
11039,1,BE23,7,5,7.0,3,1.4,42,2,4,9,7,1,32,BE,4,2,2,2,5,24.9,1.2276587,2.2,2.1,25.4,24.1,1.078783,1.0870334,0.679,0.275555,1.082445
11040,2,BE21,2,6,6.0,4,3.2,666,2,6,8,7,1,18,BE,6,2,2,3,6,24.9,1.2276587,3.5,4.2,25.4,24.1,1.078783,1.0870334,0.478,0.153449,0.802551
11045,1,BE25,5,2,2.0,3,1.9,38,2,3,7,4,2,31,BE,6,6,2,1,4,24.9,1.2276587,2.7,2.8,25.4,24.1,1.078783,1.0870334,0.745,0.353999,1.136001
11049,2,BE32,4,2,2.0,3,8.5,666,8,3,1,88,2,22,BE,6,2,1,3,77,24.9,1.2276587,7.2,8.6,25.4,24.1,1.078783,1.0870334,0.122,-0.078713,0.322713
