idno,gincdif,nuts2,wkhtot,agea,cntry,eqi21_n2,eqi21_n2_lowME,eqi21_n2_highME,inc_redist,resp_ed,fath_ed,moth_ed,educ_mob_father,educ_mob_mother,educ_mob_avg,educ_mob_avg_category,EQI,domicile,unemp_nuts2,equality_importance,social_ties,gen_trust,gov_trust,income_decile,gender,union_member,child_ever,marital_status,unemp_ever,cntry_name,educ_mob_avg_bins
24652,3,LT02,40.0,57,France,-0.344,-0.750751,0.062751,2,3.0,0.0,0.0,9.0,9.0,9.0,2,1,3.0,3,2,1,2,2.0,,1,0.0,1.0,,0.0,France,Very High
24697,3,LT02,24.0,48,France,-0.344,-0.750751,0.062751,2,6.0,6.0,6.0,6.0,6.0,6.0,0,1,3.0,3,2,3,2,2.0,5,0,0.0,,,0.0,France,Low
24718,3,LT02,50.0,65,France,-0.344,-0.750751,0.062751,2,6.0,0.0,0.0,12.0,12.0,12.0,2,1,3.0,3,2,3,3,1.0,10,0,0.0,,,0.0,France,Very High
24719,2,LT02,40.0,32,France,-0.344,-0.750751,0.062751,1,6.0,4.0,5.0,8.0,7.0,7.5,2,1,4.0,3,1,1,3,1.0,1,1,0.0,,,1.0,France,High
24723,4,LT01,,55,France,-0.093,-0.444333,0.258333,3,3.0,3.0,2.0,6.0,7.0,6.5,2,1,3.0,2,2,1,1,2.0,,0,0.0,1.0,2.0,0.0,France,Moderate
24728,2,LT02,50.0,33,France,-0.344,-0.750751,0.062751,1,5.0,5.0,4.0,6.0,7.0,6.5,2,1,4.0,3,2,4,3,1.0,9,1,0.0,,,0.0,France,Moderate
24733,3,LT02,50.0,49,France,-0.344,-0.750751,0.062751,2,5.0,0.0,6.0,11.0,5.0,8.0,2,1,3.0,3,1,1,3,2.0,2,1,0.0,,2.0,1.0,France,High
24749,2,LT02,30.0,56,France,-0.344,-0.750751,0.062751,1,6.0,0.0,1.0,12.0,11.0,11.5,2,1,5.0,3,1,1,1,0.0,,1,0.0,1.0,,0.0,France,Very High
24759,4,LT02,60.0,57,France,-0.344,-0.750751,0.062751,3,6.0,5.0,4.0,7.0,8.0,7.5,2,1,3.0,3,1,4,1,1.0,10,1,0.0,1.0,,1.0,France,High
24765,3,LT02,40.0,73,France,-0.344,-0.750751,0.062751,2,4.0,0.0,0.0,10.0,10.0,10.0,2,1,4.0,3,1,3,2,3.0,2,1,0.0,1.0,3.0,0.0,France,Very High
24790,1,LT02,30.0,62,France,-0.344,-0.750751,0.062751,1,3.0,0.0,0.0,9.0,9.0,9.0,2,1,3.0,3,1,1,0,0.0,5,1,0.0,1.0,,1.0,France,Very High
24797,1,LT02,40.0,69,France,-0.344,-0.750751,0.062751,1,6.0,0.0,0.0,12.0,12.0,12.0,2,1,3.0,3,1,0,2,0.0,2,1,0.0,1.0,2.0,0.0,France,Very High
24806,2,LT02,40.0,35,France,-0.344,-0.750751,0.062751,1,3.0,3.0,3.0,6.0,6.0,6.0,0,1,4.0,3,2,2,2,1.0,4,0,0.0,0.0,0.0,0.0,France,Low
24832,3,LT02,50.0,61,France,-0.344,-0.750751,0.062751,2,6.0,3.0,3.0,9.0,9.0,9.0,2,1,1.0,3,1,3,3,2.0,2,1,0.0,1.0,3.0,0.0,France,Very High
24854,5,LT02,,83,France,-0.344,-0.750751,0.062751,3,0.0,0.0,0.0,6.0,6.0,6.0,0,1,3.0,3,,0,3,2.0,1,1,,0.0,3.0,,France,Low
24888,2,LT01,40.0,60,France,-0.093,-0.444333,0.258333,1,1.0,1.0,1.0,6.0,6.0,6.0,0,1,3.0,2,2,1,1,1.0,3,0,0.0,1.0,,0.0,France,Low
